,日期,开盘价,最高价,收盘价,最低价,成交量,价格变动,涨跌幅,5日均价,10日均价,20日均价,5日均量,10日均量,20日均量,换手率
0,2020-06-11 14:00:00,35.58,35.7,34.91,34.81,129503.0,-0.67,-1.88,35.4,34.592,34.038,246233.0,149951.0,100690.0,0.7
1,2020-06-11 15:00:00,34.91,35.11,34.86,34.64,103404.0,-0.05,-0.14,35.266,34.708,34.1165,187104.0,157634.0,103538.0,0.56
2,2020-06-12 10:30:00,34.19,34.68,34.37,34.1,203491.0,0.18,0.53,35.05,34.782,34.1645,178231.0,174900.0,110725.0,1.1
3,2020-06-12 11:30:00,34.36,34.71,34.64,34.32,63216.3,0.28,0.81,34.872,34.886,34.2355,117496.0,177410.0,112553.0,0.34
4,2020-06-12 14:00:00,34.6,35.41,35.31,34.54,111626.0,0.71,2.05,34.818,35.011,34.346,122248.0,174892.0,115928.0,0.61
5,2020-06-12 15:00:00,35.31,35.32,34.89,34.82,97421.7,-0.42,-1.19,34.814,35.107,34.421,115832.0,181032.0,118482.0,0.53
6,2020-06-15 10:30:00,34.86,34.94,34.94,34.21,127521.0,0.08,0.23,34.83,35.048,34.478,120655.0,153880.0,119319.0,0.69
7,2020-06-15 11:30:00,34.92,34.98,34.79,34.56,60444.0,-0.13,-0.37,34.914,34.982,34.535,92045.8,135138.0,120875.0,0.33
8,2020-06-15 14:00:00,34.79,34.79,34.26,34.23,91212.8,-0.53,-1.52,34.838,34.855,34.5645,97645.1,107571.0,123846.0,0.49
9,2020-06-15 15:00:00,34.25,34.55,34.13,34.12,76494.1,-0.12,-0.35,34.602,34.71,34.582,90618.7,106433.0,124707.0,0.41
10,2020-06-16 10:30:00,34.54,34.78,34.49,34.38,109300.0,-0.05,-0.14,34.522,34.668,34.63,92994.4,104413.0,127182.0,0.59
11,2020-06-16 11:30:00,34.49,34.65,34.41,34.36,35378.8,-0.08,-0.23,34.416,34.623,34.6655,74566.0,97610.6,127622.0,0.19
12,2020-06-16 14:00:00,34.4,34.75,34.65,34.4,54128.2,0.25,0.73,34.388,34.651,34.7165,73302.8,82674.3,128787.0,0.29
13,2020-06-16 15:00:00,34.65,35.21,35.07,34.65,138124.0,0.42,1.21,34.55,34.694,34.79,82685.0,90165.1,133788.0,0.75
14,2020-06-17 10:30:00,35.11,35.6,34.85,34.83,168259.0,-0.26,-0.74,34.694,34.648,34.8295,101038.0,95828.3,135360.0,0.91
15,2020-06-17 11:30:00,34.84,34.95,34.8,34.64,59594.5,-0.04,-0.11,34.756,34.639,34.873,91096.9,92045.6,136539.0,0.32
16,2020-06-17 14:00:00,34.79,35,34.85,34.76,30466.4,0.06,0.17,34.844,34.63,34.839,90114.4,82340.2,118110.0,0.17
17,2020-06-17 15:00:00,34.85,35.18,35.09,34.76,61887.2,0.24,0.69,34.932,34.66,34.821,91666.2,82484.5,108811.0,0.34
18,2020-06-18 10:30:00,34.9,35.16,35.01,34.82,94599.2,0.11,0.32,34.92,34.735,34.795,82961.3,82823.1,95196.8,0.51
19,2020-06-18 11:30:00,35.01,35.19,34.99,34.91,47859.2,-0.02,-0.06,34.948,34.821,34.7655,58881.3,79959.6,93196.5,0.26
20,2020-06-18 14:00:00,34.99,35.44,35.16,34.99,72448.3,0.17,0.49,35.02,34.888,34.778,61452.0,76274.5,90343.8,0.39
21,2020-06-18 15:00:00,35.16,35.21,34.96,34.96,73962.2,-0.2,-0.57,35.042,34.943,34.783,70151.2,80132.8,88871.7,0.4
22,2020-06-19 10:30:00,35.14,35.52,35.17,35.11,114011.0,0.03,0.09,35.058,34.995,34.823,80576.0,86121.1,84397.7,0.62
23,2020-06-19 11:30:00,35.18,35.24,35.18,35.02,42873.4,0,0.0,35.092,35.006,34.85,70230.8,76596.0,83380.6,0.23
24,2020-06-19 14:00:00,35.19,35.39,35.32,35.18,63582.3,0.13,0.37,35.158,35.053,34.8505,73375.4,66128.4,80978.4,0.34
25,2020-06-19 15:00:00,35.32,35.35,35.21,35.19,74182.5,-0.11,-0.31,35.168,35.094,34.8665,73722.3,67587.2,79816.4,0.4
26,2020-06-22 10:30:00,35.51,35.65,35.33,35.23,131587.0,-0.18,-0.51,35.242,35.142,34.886,85247.3,77699.2,80019.7,0.71
27,2020-06-22 11:30:00,35.33,35.87,35.73,35.24,112739.0,0.4,1.13,35.354,35.206,34.933,84992.9,82784.4,82634.5,0.61
28,2020-06-22 14:00:00,35.73,35.78,35.5,35.39,66464.6,-0.23,-0.64,35.418,35.255,34.995,89711.1,79970.9,81397.0,0.36
